Item Code,Product Name,Department Name,Category Name,Bills,Bill Penetration %,Quantity,Adjusted Quantity (for sachets),Revenue (₹),Avg Selling Price (₹),Avg Cost (₹),Avg Margin % (on selling),Avg MRP (₹)
8908014029005,Priya Gold Oil 800ml,"Oil, Sugar & Masalas",Oil & Ghee,4614,20.61,9362,9362,1079796,115.33,113.28,1.79,159.62
PACS0024,Bellam (Selam) 1kg,"Oil, Sugar & Masalas",Sugar & Gud,1926,8.6,2543,2543,134772.32,53,50.24,5.21,60
PACS0002,Kandi Dal (Tiger) 1kg,"Rice, Atta & Dals",Dals & Pulses,1402,6.26,1855,1855,188212,101.57,91.33,9.98,170.66
PACS0014,Sugar 1kg,"Oil, Sugar & Masalas",Sugar & Gud,1345,6.01,1559,1559,71714,46,43.11,6.28,49.97
PACS0008,Goduma Pindi (Minar) 1kg,"Rice, Atta & Dals",Atta & Flours,1253,5.6,1512,1512,60257.6,39.84,36.91,7.34,46.04
8906035030055,Freedom Sunflower Oil Pouch 1L,"Oil, Sugar & Masalas",Oil & Ghee,1141,5.1,2304,2304,341708,148.42,146.56,1.25,173.01
8909106040663,Surf Excel Detergent Bar 150g,Home Care,Laundry,1104,4.93,5694,5694,108186,19,17.65,7.11,20
PACS0025,Bellam (Selam) 500g,"Oil, Sugar & Masalas",Sugar & Gud,1037,4.63,1221,1221,34184.83,28,25,10.71,30
PACS1040,Elaichi 10g,"Rice, Atta & Dals",Dry Fruits,862,3.85,926,926,37040,40,33.95,15.11,50
8901287100013,Mysore Sandal Soap 75g,Personal Care,Soaps & Body Wash,778,3.48,1356,1356,53661,39.52,36.25,8.13,40.81
PACS0094,Chintha Pandu 250g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,776,3.47,827,827,32368,39.14,34.53,11.79,41.4
PACS1340,Carry Bag,Stationery,Student Stationery & Toys,776,3.47,779,779,3895,5,4.5,10,5
PACS0553,Jeera 50g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,730,3.26,810,810,16200,20,11.97,40.17,30
PACS0152,Ground Nuts (Buddalu) 500g,"Rice, Atta & Dals",Dals & Pulses,725,3.24,789,789,45762,58,55.15,4.9,75
PACS0557,Jeera 100g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,639,2.85,687,687,25419,37,23.48,36.55,50
PACS0153,Ground Nuts (Buddalu) 250g,"Rice, Atta & Dals",Dals & Pulses,628,2.81,656,656,19680,30,27.5,8.34,47.87
PACS0012,Maida Pindi (999) 500g,"Rice, Atta & Dals",Atta & Flours,615,2.75,686,686,15047,21.94,18.71,14.96,24
8901030865169,Surf Excel Detergent Bar 250g,Home Care,Laundry,591,2.64,2268,2268,72576,32,30.3,5.3,33.37
PACS0015,Sugar 500g,"Oil, Sugar & Masalas",Sugar & Gud,577,2.58,597,597,14328,24,21.56,10.17,25
PACS0551,Avalu 100g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,549,2.45,600,600,9600,16,8.01,49.95,25
PACS0009,Goduma Pindi (Minar) 500g,"Rice, Atta & Dals",Atta & Flours,544,2.43,604,604,12193.5,20.2,18.02,10.88,24
PACS0194,Yellipayalu (Garlic) 250g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,525,2.35,604,604,15100,25,19.29,22.86,50
PACS0284,Muthyam Minapagundlu 250g,"Rice, Atta & Dals",Dals & Pulses,515,2.3,520,520,17160,33,24.66,25.28,40
8901725016838,Aashirvaad Chakki Atta 1kg,"Rice, Atta & Dals",Atta & Flours,491,2.19,563,563,36032,64,58.97,7.86,73.2
8909106047198,Surf Excel Detergent Bar 88g,Home Care,Laundry,488,2.18,2571,2571,25710,10,9.13,8.66,10
PACS0151,Ground Nuts (Buddalu) 1kg,"Rice, Atta & Dals",Dals & Pulses,489,2.18,599,599,69480,116,110.75,4.52,150
8901030024432,Masala Murkulu 200g,Packaged Foods & Dry Fruits,"Namkeen, Chips & Savory",460,2.05,507,507,22815,45,40,11.11,60
8901399000591,Santoor Sandal & Turmeric Soap 100g,Personal Care,Soaps & Body Wash,458,2.05,842,842,32297,38.38,35.41,7.76,39.57
8909106047082,Sunsilk Black Shine Shampoo 6ml,Personal Care,Hair Care,457,2.04,9060,566.25,9060,1,0.78,22.27,1
PACS0679,Avalu 50g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,436,1.95,529,529,4232,8,3.96,50.49,10
8901725123123,Aashirvad Salt 1kg,"Oil, Sugar & Masalas",Masala Spices & Ingredients,435,1.94,520,520,12480,24,22.37,6.79,30
8909106028616,Clinc Plus Shampoo 3.4ml,Personal Care,Hair Care,433,1.93,12628,789.25,6314,0.5,0.41,18,0.5
